,timestamp,pilot,aggressor,shiptype,module_or_ammo,dmg,hit_quality
962,2023-02-23 16:42:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
963,2023-02-23 16:42:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
964,2023-02-23 16:42:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
965,2023-02-23 16:42:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
966,2023-02-23 16:42:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
967,2023-02-23 16:42:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
968,2023-02-23 16:42:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
969,2023-02-23 16:42:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
972,2023-02-23 16:42:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
973,2023-02-23 16:42:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
974,2023-02-23 16:42:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
975,2023-02-23 16:42:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
976,2023-02-23 16:42:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
979,2023-02-23 16:42:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
980,2023-02-23 16:42:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
981,2023-02-23 16:42:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
982,2023-02-23 16:42:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
983,2023-02-23 16:42:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
984,2023-02-23 16:42:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
985,2023-02-23 16:42:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
986,2023-02-23 16:42:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
987,2023-02-23 16:42:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
988,2023-02-23 16:42:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
991,2023-02-23 16:42:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Hits
992,2023-02-23 16:42:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
993,2023-02-23 16:42:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,38,Smashes
994,2023-02-23 16:42:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
995,2023-02-23 16:42:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
998,2023-02-23 16:42:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
999,2023-02-23 16:42:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1000,2023-02-23 16:42:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
1001,2023-02-23 16:42:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
1002,2023-02-23 16:42:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
1003,2023-02-23 16:42:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Grazes
1004,2023-02-23 16:42:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
1005,2023-02-23 16:42:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
1006,2023-02-23 16:42:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
1007,2023-02-23 16:42:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
1010,2023-02-23 16:42:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
1011,2023-02-23 16:42:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1012,2023-02-23 16:42:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
1013,2023-02-23 16:42:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
1014,2023-02-23 16:42:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
1017,2023-02-23 16:42:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Glances Off
1018,2023-02-23 16:42:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
1019,2023-02-23 16:42:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
1020,2023-02-23 16:42:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1021,2023-02-23 16:42:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1022,2023-02-23 16:43:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
1023,2023-02-23 16:43:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
1024,2023-02-23 16:43:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
1025,2023-02-23 16:43:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1026,2023-02-23 16:43:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
1029,2023-02-23 16:43:07,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
1030,2023-02-23 16:43:07,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1031,2023-02-23 16:43:07,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1032,2023-02-23 16:43:07,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
1033,2023-02-23 16:43:07,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
1036,2023-02-23 16:43:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Glances Off
1037,2023-02-23 16:43:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
1038,2023-02-23 16:43:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1039,2023-02-23 16:43:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
1040,2023-02-23 16:43:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1041,2023-02-23 16:43:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
1042,2023-02-23 16:43:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1043,2023-02-23 16:43:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
1044,2023-02-23 16:43:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
1045,2023-02-23 16:43:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
1048,2023-02-23 16:43:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1049,2023-02-23 16:43:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
1050,2023-02-23 16:43:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
1051,2023-02-23 16:43:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
1052,2023-02-23 16:43:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1055,2023-02-23 16:43:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1056,2023-02-23 16:43:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
1057,2023-02-23 16:43:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
1058,2023-02-23 16:43:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1059,2023-02-23 16:43:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
1060,2023-02-23 16:43:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1061,2023-02-23 16:43:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
1062,2023-02-23 16:43:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
1063,2023-02-23 16:43:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
1064,2023-02-23 16:43:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
1067,2023-02-23 16:43:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1068,2023-02-23 16:43:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
1069,2023-02-23 16:43:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
1070,2023-02-23 16:43:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
1071,2023-02-23 16:43:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
1074,2023-02-23 16:43:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Hits
1075,2023-02-23 16:43:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
1076,2023-02-23 16:43:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
1077,2023-02-23 16:43:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
1078,2023-02-23 16:43:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
1079,2023-02-23 16:43:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Hits
1080,2023-02-23 16:43:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
1081,2023-02-23 16:43:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
1082,2023-02-23 16:43:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
1083,2023-02-23 16:43:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1086,2023-02-23 16:43:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
1087,2023-02-23 16:43:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1088,2023-02-23 16:43:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1089,2023-02-23 16:43:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
1090,2023-02-23 16:43:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
1093,2023-02-23 16:43:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1094,2023-02-23 16:43:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1095,2023-02-23 16:43:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
1096,2023-02-23 16:43:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
1097,2023-02-23 16:43:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
1098,2023-02-23 16:43:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
1099,2023-02-23 16:43:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1100,2023-02-23 16:43:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
1101,2023-02-23 16:43:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
1102,2023-02-23 16:43:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
1105,2023-02-23 16:43:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
1106,2023-02-23 16:43:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1107,2023-02-23 16:43:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
1108,2023-02-23 16:43:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1109,2023-02-23 16:43:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
1112,2023-02-23 16:43:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
1113,2023-02-23 16:43:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1114,2023-02-23 16:43:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
1115,2023-02-23 16:43:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
1116,2023-02-23 16:43:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
1117,2023-02-23 16:44:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
1118,2023-02-23 16:44:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1119,2023-02-23 16:44:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
1120,2023-02-23 16:44:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1121,2023-02-23 16:44:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
1124,2023-02-23 16:44:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
1125,2023-02-23 16:44:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,38,Smashes
1126,2023-02-23 16:44:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
1127,2023-02-23 16:44:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
1128,2023-02-23 16:44:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
1131,2023-02-23 16:44:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,39,Smashes
1132,2023-02-23 16:44:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1133,2023-02-23 16:44:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
1134,2023-02-23 16:44:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1135,2023-02-23 16:44:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
1136,2023-02-23 16:44:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Grazes
1137,2023-02-23 16:44:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
1138,2023-02-23 16:44:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
1139,2023-02-23 16:44:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
1140,2023-02-23 16:44:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
1143,2023-02-23 16:44:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1144,2023-02-23 16:44:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
1145,2023-02-23 16:44:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
1146,2023-02-23 16:44:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
1147,2023-02-23 16:44:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
1150,2023-02-23 16:44:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Glances Off
1151,2023-02-23 16:44:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
1152,2023-02-23 16:44:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
1153,2023-02-23 16:44:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
1154,2023-02-23 16:44:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
1155,2023-02-23 16:44:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Hits
1156,2023-02-23 16:44:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
1157,2023-02-23 16:44:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1158,2023-02-23 16:44:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
1159,2023-02-23 16:44:26,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1162,2023-02-23 16:44:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,78,Wrecks
1163,2023-02-23 16:44:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
1164,2023-02-23 16:44:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1165,2023-02-23 16:44:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1166,2023-02-23 16:44:30,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
1169,2023-02-23 16:44:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,38,Smashes
1170,2023-02-23 16:44:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
1171,2023-02-23 16:44:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1172,2023-02-23 16:44:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
1173,2023-02-23 16:44:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
1174,2023-02-23 16:44:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Penetrates
1175,2023-02-23 16:44:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
1176,2023-02-23 16:44:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1177,2023-02-23 16:44:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1178,2023-02-23 16:44:38,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1181,2023-02-23 16:44:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
1182,2023-02-23 16:44:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
1183,2023-02-23 16:44:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
1184,2023-02-23 16:44:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
1185,2023-02-23 16:44:42,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
1188,2023-02-23 16:44:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,38,Smashes
1189,2023-02-23 16:44:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
1190,2023-02-23 16:44:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
1191,2023-02-23 16:44:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
1192,2023-02-23 16:44:46,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
1193,2023-02-23 16:44:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
1194,2023-02-23 16:44:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
1195,2023-02-23 16:44:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
1196,2023-02-23 16:44:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
1197,2023-02-23 16:44:50,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
1200,2023-02-23 16:44:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
1201,2023-02-23 16:44:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
1202,2023-02-23 16:44:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
1203,2023-02-23 16:44:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
1204,2023-02-23 16:44:54,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
2288,2023-02-01 23:09:42,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
2289,2023-02-01 23:09:43,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2290,2023-02-01 23:09:43,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2293,2023-02-01 23:09:44,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2304,2023-02-01 23:09:50,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
2305,2023-02-01 23:09:50,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2306,2023-02-01 23:09:51,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2307,2023-02-01 23:09:51,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2315,2023-02-01 23:09:58,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2316,2023-02-01 23:09:58,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
2317,2023-02-01 23:09:58,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2318,2023-02-01 23:09:59,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2325,2023-02-01 23:10:05,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2326,2023-02-01 23:10:06,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2327,2023-02-01 23:10:06,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2873,2023-02-01 23:18:26,Dravynea Uta,Orthrus,Orthrus,,1124,Smashes
2874,2023-02-01 23:18:26,Dravynea Uta,Orthrus,Orthrus,,854,Hits
2875,2023-02-01 23:18:26,Dravynea Uta,Orthrus,Orthrus,,1094,Penetrates
2885,2023-02-01 23:18:41,Dravynea Uta,Orthrus,Orthrus,,1308,Smashes
2886,2023-02-01 23:18:41,Dravynea Uta,Orthrus,Orthrus,,525,Grazes
2887,2023-02-01 23:18:41,Dravynea Uta,Orthrus,Orthrus,,854,Hits
2899,2023-02-01 23:19:12,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2900,2023-02-01 23:19:13,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2901,2023-02-01 23:19:13,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2905,2023-02-01 23:19:20,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2906,2023-02-01 23:19:20,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2907,2023-02-01 23:19:21,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2910,2023-02-01 23:19:27,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2912,2023-02-01 23:19:28,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2913,2023-02-01 23:19:28,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2937,2023-02-01 23:20:16,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2938,2023-02-01 23:20:16,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
2939,2023-02-01 23:20:17,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,201,Hits
2951,2023-02-01 23:20:44,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,115,Hits
2952,2023-02-01 23:20:44,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
2953,2023-02-01 23:20:45,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
2956,2023-02-01 23:20:48,Dravynea Uta,Anarevien Lemmont,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
2971,2023-02-01 23:20:50,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
2973,2023-02-01 23:20:51,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
2974,2023-02-01 23:20:52,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
2975,2023-02-01 23:20:52,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
2978,2023-02-01 23:20:56,Dravynea Uta,Anarevien Lemmont,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
2990,2023-02-01 23:20:58,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
2991,2023-02-01 23:20:59,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
2992,2023-02-01 23:20:59,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
2993,2023-02-01 23:21:00,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3000,2023-02-01 23:21:06,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,79,Hits
3003,2023-02-01 23:21:07,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,82,Hits
3004,2023-02-01 23:21:07,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3005,2023-02-01 23:21:07,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3010,2023-02-01 23:21:14,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,82,Hits
3011,2023-02-01 23:21:14,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3012,2023-02-01 23:21:14,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3013,2023-02-01 23:21:15,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3017,2023-02-01 23:21:22,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,82,Hits
3018,2023-02-01 23:21:22,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,79,Hits
3019,2023-02-01 23:21:22,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3020,2023-02-01 23:21:22,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3045,2023-02-01 23:22:22,Dravynea Uta,Awakened Keeper,Awakened Keeper,,168,Smashes
3046,2023-02-01 23:22:22,Dravynea Uta,Awakened Keeper,Awakened Keeper,,69,Hits
3049,2023-02-01 23:22:23,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,44,Hits
3050,2023-02-01 23:22:23,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,45,Penetrates
3051,2023-02-01 23:22:26,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,343,Smashes
3055,2023-02-01 23:22:28,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
3056,2023-02-01 23:22:28,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,31,Glances Off
3057,2023-02-01 23:22:28,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,46,Penetrates
3059,2023-02-01 23:22:31,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,282,Penetrates
3061,2023-02-01 23:22:33,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,36,Hits
3062,2023-02-01 23:22:33,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,48,Penetrates
3064,2023-02-01 23:22:36,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,272,Penetrates
3067,2023-02-01 23:22:38,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,55,Penetrates
3069,2023-02-01 23:22:41,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,220,Hits
3071,2023-02-01 23:22:46,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,348,Smashes
